/M0/D X,/M0/D Y
0,5.813584206051936e-14
0.036,1.450149482985805e-13
0.07200000000000001,3.717736098796006e-13
0.108,9.63233622241698e-13
0.144,2.504291375016537e-12
0.18,6.512598227256528e-12
0.216,1.69094333505922e-11
0.252,4.37586558921419e-11
0.288,1.126174803732013e-10
0.3240000000000001,2.873381960679339e-10
0.3600000000000001,7.235898229756687e-10
0.3960000000000001,1.787799811577998e-09
0.4320000000000002,4.303262873083203e-09
0.4680000000000002,1.002176118113169e-08
0.5040000000000002,2.248097051374565e-08
0.5400000000000003,4.854550607620084e-08
0.5760000000000003,1.010623459911932e-07
0.6120000000000003,2.025758298123941e-07
0.6480000000000004,3.882509583899172e-07
0.6840000000000004,7.043570963045225e-07
0.7200000000000004,1.200340082105939e-06
0.7560000000000004,1.917966240279595e-06
0.7920000000000005,2.884121843686719e-06
0.8280000000000005,4.110407635971956e-06
0.8640000000000005,5.597357622356408e-06
0.9000000000000006,7.339511905921072e-06
0.9360000000000006,9.329158200422146e-06
0.9720000000000006,1.155838508053476e-05
1.008000000000001,1.401991901342771e-05
1.044000000000001,1.670730091305066e-05
1.080000000000001,1.961478372432247e-05
1.116000000000001,2.273715453420947e-05
1.152000000000001,2.606956923086989e-05
1.188000000000001,2.960742734545626e-05
1.224000000000001,3.334628817398249e-05
1.260000000000001,3.728182011951569e-05
1.296000000000001,4.140977376267741e-05
1.332000000000001,4.572597057800872e-05
1.368000000000001,5.022630127416754e-05
1.404000000000001,5.49067296018514e-05
1.440000000000001,5.976329890849709e-05
1.476000000000001,6.479213973085051e-05
1.512000000000001,6.998947739027003e-05
1.548000000000001,7.535163898433066e-05
1.584000000000001,8.087505942964489e-05
1.620000000000001,8.655628636227207e-05
1.656000000000001,9.23919837832057e-05
1.692000000000001,9.837893437293585e-05
1.728000000000001,0.0001045140404068607
1.764000000000001,0.0001107943231914223
1.8,0.0001172169209137615
