/M0/D X,/M0/D Y
0,0
0.036,5.195024287668337e-06
0.07200000000000001,9.859603375630433e-06
0.108,1.399848816858322e-05
0.144,1.761683919939131e-05
0.18,2.072062315396382e-05
0.216,2.331743820233128e-05
0.252,2.541829428905079e-05
0.288,2.704146140667875e-05
0.3240000000000001,2.822011047147258e-05
0.3600000000000001,2.901349056194467e-05
0.3960000000000001,2.951139143719887e-05
0.4320000000000002,2.981507041663155e-05
0.4680000000000002,3.000599222316209e-05
0.5040000000000002,3.013425551341221e-05
0.5400000000000003,3.022666857070809e-05
0.5760000000000003,3.029722155716239e-05
0.6120000000000003,3.035350402911654e-05
0.6480000000000004,3.03998965419911e-05
0.6840000000000004,3.043909417910935e-05
0.7200000000000004,3.047285275007112e-05
0.7560000000000004,3.050237295512511e-05
0.7920000000000005,3.052850949336291e-05
0.8280000000000005,3.055189118251353e-05
0.8640000000000005,3.057299343049193e-05
0.9000000000000006,3.059218390120115e-05
0.9360000000000006,3.060975240240817e-05
0.9720000000000006,3.062593110228808e-05
1.008000000000001,3.064090860044376e-05
1.044000000000001,3.065483996764714e-05
1.080000000000001,3.066785406595365e-05
1.116000000000001,3.068005898921052e-05
1.152000000000001,3.069154617269297e-05
1.188000000000001,3.070239354789394e-05
1.224000000000001,3.071266799685289e-05
1.260000000000001,3.072242728843563e-05
1.296000000000001,3.073172162870396e-05
1.332000000000001,3.074059492387428e-05
1.368000000000001,3.074908583185054e-05
1.404000000000001,3.075722866288647e-05
1.440000000000001,3.076505417923076e-05
1.476000000000001,3.077259033586238e-05
1.512000000000001,3.07798629985173e-05
1.548000000000001,3.078689667025617e-05
1.584000000000001,3.079371525331588e-05
1.620000000000001,3.08003428685884e-05
1.656000000000001,3.080680475059744e-05
1.692000000000001,3.081312823128188e-05
1.728000000000001,3.08193438212543e-05
1.764000000000001,3.082548639260859e-05
1.8,3.083159646289794e-05
