/M0/D X,/M0/D Y
0,0
0.036,8.990831780945019e-12
0.07200000000000001,1.01535879226929e-11
0.108,1.038313327869197e-11
0.144,1.047149481909575e-11
0.18,1.052103954922505e-11
0.216,1.055515356110861e-11
0.252,1.058157311956658e-11
0.288,1.06035449954169e-11
0.3240000000000001,1.062267335543934e-11
0.3600000000000001,1.063984935902023e-11
0.3960000000000001,1.065561304161022e-11
0.4320000000000002,1.067031403137544e-11
0.4680000000000002,1.06841906160446e-11
0.5040000000000002,1.069741194461526e-11
0.5400000000000003,1.071010209310586e-11
0.5760000000000003,1.072235455673727e-11
0.6120000000000003,1.073424138256107e-11
0.6480000000000004,1.074581914912729e-11
0.6840000000000004,1.075713301127017e-11
0.7200000000000004,1.076821951358052e-11
0.7560000000000004,1.07791085954642e-11
0.7920000000000005,1.078982505050051e-11
0.8280000000000005,1.080038960853377e-11
0.8640000000000005,1.081081975261577e-11
0.9000000000000006,1.082113034534323e-11
0.9360000000000006,1.083133411766147e-11
0.9720000000000006,1.084144205793227e-11
1.008000000000001,1.08514637294774e-11
1.044000000000001,1.086140753846993e-11
1.080000000000001,1.087128096975899e-11
1.116000000000001,1.0881090805311e-11
1.152000000000001,1.089084333778464e-11
1.188000000000001,1.090054459009074e-11
1.224000000000001,1.091020055025839e-11
1.260000000000001,1.091981742951804e-11
1.296000000000001,1.092940195001109e-11
1.332000000000001,1.093896166704502e-11
1.368000000000001,1.094850532921197e-11
1.404000000000001,1.095804327813631e-11
1.440000000000001,1.096758788802426e-11
1.476000000000001,1.097715404373714e-11
1.512000000000001,1.098675965471647e-11
1.548000000000001,1.099642620088224e-11
1.584000000000001,1.100617930563288e-11
1.620000000000001,1.101604933019362e-11
1.656000000000001,1.102607198301403e-11
1.692000000000001,1.103628893748595e-11
1.728000000000001,1.104674845106728e-11
1.764000000000001,1.105750597889603e-11
1.8,1.106862477514651e-11
