/M0/D X,/M0/D Y
0,0
0.036,3.655023298547957e-13
0.07200000000000001,4.459580426530667e-13
0.108,4.810120686433581e-13
0.144,5.059108831539061e-13
0.18,5.265115555242299e-13
0.216,5.447035634365339e-13
0.252,5.613745491712306e-13
0.288,5.770271569341439e-13
0.3240000000000001,5.919771123223253e-13
0.3600000000000001,6.064362590986167e-13
0.3960000000000001,6.205535623116631e-13
0.4320000000000002,6.344376163250087e-13
0.4680000000000002,6.481699380649121e-13
0.5040000000000002,6.61813252438476e-13
0.5400000000000003,6.7541687658958e-13
0.5760000000000003,6.890203385866838e-13
0.6120000000000003,7.026558784620182e-13
0.6480000000000004,7.163502183232457e-13
0.6840000000000004,7.301258411577126e-13
0.7200000000000004,7.440019314427606e-13
0.7560000000000004,7.579950781896819e-13
0.7920000000000005,7.721198079351634e-13
0.8280000000000005,7.863889941581764e-13
0.8640000000000005,8.008141756382341e-13
0.9000000000000006,8.154058068529861e-13
0.9360000000000006,8.301734573647798e-13
0.9720000000000006,8.451259726625709e-13
1.008000000000001,8.602716061039795e-13
1.044000000000001,8.756181294025092e-13
1.080000000000001,8.911729277632568e-13
1.116000000000001,9.069430847668844e-13
1.152000000000001,9.229354613639433e-13
1.188000000000001,9.391567729069723e-13
1.224000000000001,9.556136676022353e-13
1.260000000000001,9.723128096369998e-13
1.296000000000001,9.892609697072282e-13
1.332000000000001,1.006465125550961e-12
1.368000000000001,1.023932574676905e-12
1.404000000000001,1.041671061221503e-12
1.440000000000001,1.059688918492975e-12
1.476000000000001,1.077995228513191e-12
1.512000000000001,1.096599999451732e-12
1.548000000000001,1.115514361625473e-12
1.584000000000001,1.134750782332346e-12
1.620000000000001,1.154323299638524e-12
1.656000000000001,1.174247774843015e-12
1.692000000000001,1.194542163270411e-12
1.728000000000001,1.215226802706387e-12
1.764000000000001,1.236324718769244e-12
1.8,1.257861946263749e-12
